MyWorkout,Exercise,WorkoutType,Reps,ExDone,WkDone,ExDone_count,WkDone_count,Wait,Active,Checkmark,Yesterday
Week 1,Traditional Kegel,TKegel,20,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Reverse Kegel,RKegel,20,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Warmup Half Squats,HSquat,40,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Sumo Heel Squats,FSquat,5,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Sumo Heel Squats,FSquat,10,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Sumo Heel Squats,FSquat,10,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Bridge (Hip Raise),Bridges,10,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 1,Sitting Kegel (Short),Bridges,15,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Traditional Kegel,TKegel,20,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Reverse Kegel,RKegel,20,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Warmup Half Squats,HSquat,50,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Sumo Heel Squats,FSquat,10,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Sumo Heel Squats,FSquat,10,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Sumo Heel Squats,FSquat,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Bridge (Hip Raise),Bridges,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 2,Sitting Kegel (Short),Bridges,20,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Traditional Kegel,TKegel,40,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Reverse Kegel,RKegel,40,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Warmup Half Squats,HSquat,50,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Sumo Heel Squats,FSquat,10,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Sumo Heel Squats,FSquat,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Sumo Heel Squats,FSquat,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Bridge (Hip Raise),Bridges,20,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 3,Sitting Kegel (Long),Bridges,15,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Traditional Kegel,TKegel,20,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Reverse Back Kegel,CKegel,20,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Warmup Half Squats,HSquat,50,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Sumo Heel Squats,FSquat,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Sumo Heel Squats,FSquat,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Sumo Heel Squats,FSquat,15,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Bridge (Hip Raise),Bridges,25,false,false,0,0,false,false,"small_round_nocheck.jpg",Wed Dec 30 2015
Week 4,Sitting Kegel (Long),Bridges,20,false,false,0,0,false,true,"small_round_nocheck.jpg",Wed Dec 30 2015
